pathway_id	gene_id
mmu00053	mmu:19733
mmu00053	mmu:22235
mmu00053	mmu:22236
mmu00053	mmu:22238
mmu00053	mmu:231396
mmu00053	mmu:243085
mmu00053	mmu:268756
mmu00053	mmu:394430
mmu00053	mmu:394432
mmu00053	mmu:394433
mmu00053	mmu:394434
mmu00053	mmu:394435
mmu00053	mmu:394436
mmu00053	mmu:552899
mmu00053	mmu:56727
mmu00053	mmu:56752
mmu00053	mmu:58810
mmu00053	mmu:613123
mmu00053	mmu:71773
mmu00053	mmu:72094
mmu00053	mmu:72535
mmu00053	mmu:94215
mmu00053	mmu:94284
mmu00061	mmu:100705
mmu00061	mmu:107476
mmu00061	mmu:109729085
mmu00061	mmu:14081
mmu00061	mmu:14104
mmu00061	mmu:14979
mmu00061	mmu:216739
mmu00061	mmu:223722
mmu00061	mmu:234309
mmu00061	mmu:257633
mmu00061	mmu:26922
mmu00061	mmu:328845
mmu00061	mmu:433256
mmu00061	mmu:50790
mmu00061	mmu:71147
mmu00061	mmu:74205
mmu00061	mmu:78625
mmu00061	mmu:94180
mmu00061	mmu:99035
mmu00062	mmu:106529
mmu00062	mmu:12686
mmu00062	mmu:15107
mmu00062	mmu:170439
mmu00062	mmu:171210
mmu00062	mmu:171281
mmu00062	mmu:171282
mmu00062	mmu:19063
mmu00062	mmu:217698
mmu00062	mmu:231086
mmu00062	mmu:26897
mmu00062	mmu:26922
mmu00062	mmu:30963
mmu00062	mmu:52538
mmu00062	mmu:54325
mmu00062	mmu:54326
mmu00062	mmu:54397
mmu00062	mmu:56348
mmu00062	mmu:57874
mmu00062	mmu:66198
mmu00062	mmu:66775
mmu00062	mmu:68801
mmu00062	mmu:70025
mmu00062	mmu:70757
mmu00062	mmu:74559
mmu00062	mmu:75778
mmu00062	mmu:83603
mmu00062	mmu:93747
mmu00062	mmu:97212
mmu00071	mmu:100040843
mmu00071	mmu:110446
mmu00071	mmu:110460
mmu00071	mmu:110695
mmu00071	mmu:11363
mmu00071	mmu:11364
mmu00071	mmu:11370
mmu00071	mmu:113868
mmu00071	mmu:11409
mmu00071	mmu:11430
mmu00071	mmu:11522
mmu00071	mmu:11529
mmu00071	mmu:11532
mmu00071	mmu:11669
mmu00071	mmu:11671
mmu00071	mmu:12894
mmu00071	mmu:12895
mmu00071	mmu:12896
mmu00071	mmu:13117
mmu00071	mmu:13118
mmu00071	mmu:13119
mmu00071	mmu:13177
mmu00071	mmu:14081
mmu00071	mmu:15107
mmu00071	mmu:216739
mmu00071	mmu:224530
mmu00071	mmu:230639
mmu00071	mmu:231086
mmu00071	mmu:235674
mmu00071	mmu:23986
mmu00071	mmu:26876
mmu00071	mmu:270076
mmu00071	mmu:277753
mmu00071	mmu:328845
mmu00071	mmu:433256
mmu00071	mmu:435802
mmu00071	mmu:50790
mmu00071	mmu:52538
mmu00071	mmu:56752
mmu00071	mmu:666168
mmu00071	mmu:66885
mmu00071	mmu:69123
mmu00071	mmu:71519
mmu00071	mmu:72535
mmu00071	mmu:74147
mmu00071	mmu:74205
mmu00071	mmu:78070
mmu00071	mmu:78625
mmu00071	mmu:80911
mmu00071	mmu:93747
mmu00071	mmu:94180
mmu00071	mmu:97212
mmu00100	mmu:12613
mmu00100	mmu:13081
mmu00100	mmu:13115
mmu00100	mmu:13121
mmu00100	mmu:13360
mmu00100	mmu:13595
mmu00100	mmu:14137
mmu00100	mmu:15490
mmu00100	mmu:16889
mmu00100	mmu:16987
mmu00100	mmu:18194
mmu00100	mmu:20652
mmu00100	mmu:20775
mmu00100	mmu:223920
mmu00100	mmu:235293
mmu00100	mmu:244209
mmu00100	mmu:66234
mmu00100	mmu:73166
mmu00100	mmu:74754
mmu00100	mmu:98386
mmu00120	mmu:101502
mmu00120	mmu:104086
mmu00120	mmu:12012
mmu00120	mmu:12642
mmu00120	mmu:13116
mmu00120	mmu:13122
mmu00120	mmu:13123
mmu00120	mmu:13124
mmu00120	mmu:15488
mmu00120	mmu:170789
mmu00120	mmu:17117
mmu00120	mmu:20280
mmu00120	mmu:208665
mmu00120	mmu:209186
mmu00120	mmu:230161
mmu00120	mmu:26459
mmu00120	mmu:56050
mmu00120	mmu:93732
mmu00130	mmu:12850
mmu00130	mmu:15445
mmu00130	mmu:18104
mmu00130	mmu:217707
mmu00130	mmu:227683
mmu00130	mmu:230027
mmu00130	mmu:234724
mmu00130	mmu:27973
mmu00130	mmu:52064
mmu00130	mmu:56316
mmu00130	mmu:69568
mmu00130	mmu:71883
mmu00140	mmu:100041375
mmu00140	mmu:100041449
mmu00140	mmu:100043108
mmu00140	mmu:100043456
mmu00140	mmu:100043461
mmu00140	mmu:100559
mmu00140	mmu:100727
mmu00140	mmu:105349
mmu00140	mmu:107141
mmu00140	mmu:110115
mmu00140	mmu:112417
mmu00140	mmu:114664
mmu00140	mmu:12846
mmu00140	mmu:13070
mmu00140	mmu:13072
mmu00140	mmu:13074
mmu00140	mmu:13075
mmu00140	mmu:13076
mmu00140	mmu:13077
mmu00140	mmu:13078
mmu00140	mmu:13079
mmu00140	mmu:13088
mmu00140	mmu:13089
mmu00140	mmu:13090
mmu00140	mmu:13094
mmu00140	mmu:13095
mmu00140	mmu:13096
mmu00140	mmu:13097
mmu00140	mmu:13098
mmu00140	mmu:13099
mmu00140	mmu:13101
mmu00140	mmu:13105
mmu00140	mmu:13106
mmu00140	mmu:13112
mmu00140	mmu:13113
mmu00140	mmu:13114
mmu00140	mmu:13122
mmu00140	mmu:13123
mmu00140	mmu:14979
mmu00140	mmu:15483
mmu00140	mmu:15484
mmu00140	mmu:15485
mmu00140	mmu:15486
mmu00140	mmu:15487
mmu00140	mmu:15490
mmu00140	mmu:15492
mmu00140	mmu:15493
mmu00140	mmu:15494
mmu00140	mmu:15495
mmu00140	mmu:15496
mmu00140	mmu:15497
mmu00140	mmu:192970
mmu00140	mmu:20860
mmu00140	mmu:208665
mmu00140	mmu:20905
mmu00140	mmu:22236
mmu00140	mmu:22238
mmu00140	mmu:223706
mmu00140	mmu:226105
mmu00140	mmu:226143
mmu00140	mmu:231396
mmu00140	mmu:243085
mmu00140	mmu:243881
mmu00140	mmu:27400
mmu00140	mmu:337924
mmu00140	mmu:380997
mmu00140	mmu:394430
mmu00140	mmu:394432
mmu00140	mmu:394433
mmu00140	mmu:394434
mmu00140	mmu:394435
mmu00140	mmu:394436
mmu00140	mmu:404195
mmu00140	mmu:433247
mmu00140	mmu:53973
mmu00140	mmu:54200
mmu00140	mmu:545123
mmu00140	mmu:545288
mmu00140	mmu:552899
mmu00140	mmu:56348
mmu00140	mmu:56388
mmu00140	mmu:56448
mmu00140	mmu:57357
mmu00140	mmu:613123
mmu00140	mmu:622127
mmu00140	mmu:68444
mmu00140	mmu:69888
mmu00140	mmu:71754
mmu00140	mmu:71773
mmu00140	mmu:72082
mmu00140	mmu:72094
mmu00140	mmu:72303
mmu00140	mmu:76279
mmu00140	mmu:77337
mmu00140	mmu:78925
mmu00140	mmu:791260
mmu00140	mmu:94215
mmu00140	mmu:94224
mmu00140	mmu:94284
mmu00190	mmu:100041273
mmu00190	mmu:100042503
mmu00190	mmu:100502727
mmu00190	mmu:102631912
mmu00190	mmu:102633050
mmu00190	mmu:102633230
mmu00190	mmu:102634451
mmu00190	mmu:104130
mmu00190	mmu:108664
mmu00190	mmu:110323
mmu00190	mmu:110935
mmu00190	mmu:114143
mmu00190	mmu:11944
mmu00190	mmu:11945
mmu00190	mmu:11946
mmu00190	mmu:11947
mmu00190	mmu:11949
mmu00190	mmu:11950
mmu00190	mmu:11951
mmu00190	mmu:11957
mmu00190	mmu:11958
mmu00190	mmu:11964
mmu00190	mmu:11966
mmu00190	mmu:11972
mmu00190	mmu:11973
mmu00190	mmu:11974
mmu00190	mmu:11975
